frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
7,24,9,16,61.50,234.50,9.23,35.18
7,24,10,17,61.50,234.50,9.72,37.08
7,24,11,18,61.50,234.50,10.20,38.89
7,24,12,19,61.50,234.50,10.65,40.62
7,24,13,20,61.50,234.50,11.09,42.28
7,24,14,21,61.50,234.50,11.51,43.87
7,24,15,22,61.50,234.50,11.91,45.41
8,6,1,9,49.00,305.50,2.45,15.28
8,6,2,10,49.00,305.50,3.47,21.60
8,6,3,11,49.00,305.50,4.24,26.46
8,6,4,12,49.00,305.50,4.90,30.55
8,6,5,13,49.00,305.50,5.48,34.16
8,6,6,14,49.00,305.50,6.00,37.42
8,6,7,15,49.00,305.50,6.48,40.41
8,6,8,16,49.00,305.50,6.93,43.20
8,6,9,17,49.00,305.50,7.35,45.83
8,6,10,18,49.00,305.50,7.75,48.30
8,6,11,19,49.00,305.50,8.13,50.66
8,6,12,20,49.00,305.50,8.49,52.91
8,6,13,21,49.00,305.50,8.83,55.07
8,6,14,22,49.00,305.50,9.17,57.15
8,6,15,23,49.00,305.50,9.49,59.16
8,17,1,9,131.50,336.00,6.58,16.80
8,17,2,10,131.50,336.00,9.30,23.76
8,17,3,11,131.50,336.00,11.39,29.10
8,17,4,12,131.50,336.00,13.15,33.60
8,17,5,13,131.50,336.00,14.70,37.57
8,17,6,14,131.50,336.00,16.11,41.15
8,17,7,15,131.50,336.00,17.40,44.45
8,17,8,16,131.50,336.00,18.60,47.52
8,17,9,17,131.50,336.00,19.73,50.40
8,17,10,18,131.50,336.00,20.79,53.13
8,17,11,19,131.50,336.00,21.81,55.72
8,17,12,20,131.50,336.00,22.78,58.20
8,17,13,21,131.50,336.00,23.71,60.57
8,17,14,22,131.50,336.00,24.60,62.86
8,17,15,23,131.50,336.00,25.47,65.07
8,19,1,9,57.00,301.50,4.03,21.32
8,19,2,10,57.00,301.50,4.94,26.11
8,19,3,11,57.00,301.50,5.70,30.15
8,19,4,12,57.00,301.50,6.37,33.71
8,19,5,13,57.00,301.50,6.98,36.93
8,19,6,14,57.00,301.50,7.54,39.88
8,19,7,15,57.00,301.50,8.06,42.64
8,19,8,16,57.00,301.50,8.55,45.23
8,19,9,17,57.00,301.50,9.01,47.67
8,19,10,18,57.00,301.50,9.45,50.00
8,19,11,19,57.00,301.50,9.87,52.22
8,19,12,20,57.00,301.50,10.28,54.35
8,19,13,21,57.00,301.50,10.66,56.41
8,19,14,22,57.00,301.50,11.04,58.39
8,19,15,23,57.00,301.50,11.40,60.30
8,20,1,9,16.01,298.50,1.13,21.11
8,20,2,10,16.01,298.50,1.39,25.85
8,20,3,11,16.01,298.50,1.60,29.85
8,20,4,12,16.01,298.50,1.79,33.37
8,20,5,13,16.01,298.50,1.96,36.56
8,20,6,14,16.01,298.50,2.12,39.49
8,20,7,15,16.01,298.50,2.26,42.21
8,20,8,16,16.01,298.50,2.40,44.78
8,20,9,17,16.01,298.50,2.53,47.20
8,20,10,18,16.01,298.50,2.65,49.50
8,20,11,19,16.01,298.50,2.77,51.70
8,20,12,20,16.01,298.50,2.89,53.81
8,20,13,21,16.01,298.50,2.99,55.84
8,20,14,22,16.01,298.50,3.10,57.80
8,20,15,23,16.01,298.50,3.20,59.70
8,24,1,9,54.00,232.00,2.70,11.60
8,24,2,10,54.00,232.00,3.82,16.40
8,24,3,11,54.00,232.00,4.68,20.09
8,24,4,12,54.00,232.00,5.40,23.20
8,24,5,13,54.00,232.00,6.04,25.94
8,24,6,14,54.00,232.00,6.61,28.41
8,24,7,15,54.00,232.00,7.14,30.69
8,24,8,16,54.00,232.00,7.64,32.81
8,24,9,17,54.00,232.00,8.10,34.80
8,24,10,18,54.00,232.00,8.54,36.68
8,24,11,19,54.00,232.00,8.96,38.47
8,24,12,20,54.00,232.00,9.35,40.18
8,24,13,21,54.00,232.00,9.74,41.82
8,24,14,22,54.00,232.00,10.10,43.40
8,24,15,23,54.00,232.00,10.46,44.93
9,6,1,10,49.00,305.50,3.47,21.60
9,6,2,11,49.00,305.50,4.24,26.46
9,6,3,12,49.00,305.50,4.90,30.55
9,6,4,13,49.00,305.50,5.48,34.16
9,6,5,14,49.00,305.50,6.00,37.42
9,6,6,15,49.00,305.50,6.48,40.41
9,6,7,16,49.00,305.50,6.93,43.20
9,6,8,17,49.00,305.50,7.35,45.83
9,6,9,18,49.00,305.50,7.75,48.30
9,6,10,19,49.00,305.50,8.13,50.66
9,6,11,20,49.00,305.50,8.49,52.91
9,6,12,21,49.00,305.50,8.83,55.07
9,6,13,22,49.00,305.50,9.17,57.15
9,6,14,23,49.00,305.50,9.49,59.16
9,6,15,24,49.00,305.50,9.80,61.10
9,17,1,10,124.00,332.00,6.20,16.60
9,17,2,11,124.00,332.00,8.77,23.48
9,17,3,12,124.00,332.00,10.74,28.75
9,17,4,13,124.00,332.00,12.40,33.20
9,17,5,14,124.00,332.00,13.86,37.12
9,17,6,15,124.00,332.00,15.19,40.66
9,17,7,16,124.00,332.00,16.40,43.92
9,17,8,17,124.00,332.00,17.54,46.95
9,17,9,18,124.00,332.00,18.60,49.80
9,17,10,19,124.00,332.00,19.61,52.49
9,17,11,20,124.00,332.00,20.56,55.06
9,17,12,21,124.00,332.00,21.48,57.50
9,17,13,22,124.00,332.00,22.35,59.85
9,17,14,23,124.00,332.00,23.20,62.11
9,17,15,24,124.00,332.00,24.01,64.29
9,19,1,10,37.00,307.00,1.85,15.35
9,19,2,11,37.00,307.00,2.62,21.71
9,19,3,12,37.00,307.00,3.20,26.59
9,19,4,13,37.00,307.00,3.70,30.70
9,19,5,14,37.00,307.00,4.14,34.32
9,19,6,15,37.00,307.00,4.53,37.60
9,19,7,16,37.00,307.00,4.90,40.61
9,19,8,17,37.00,307.00,5.23,43.42
9,19,9,18,37.00,307.00,5.55,46.05
9,19,10,19,37.00,307.00,5.85,48.54
9,19,11,20,37.00,307.00,6.14,50.91
9,19,12,21,37.00,307.00,6.41,53.17
9,19,13,22,37.00,307.00,6.67,55.35
9,19,14,23,37.00,307.00,6.92,57.43
9,19,15,24,37.00,307.00,7.17,59.45
9,20,1,10,16.01,298.50,1.39,25.85
9,20,2,11,16.01,298.50,1.60,29.85
