track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
85,car,2,4,3,0.26,0.132
86,car,2,65,64,395.57,6.279
87,car,2,14,13,4.6,0.383
88,car,2,27,26,175.6,7.024
89,car,2,90,89,1177.89,13.385
90,car,2,13,12,17.42,1.584
91,car,2,90,89,782.65,8.894
92,car,2,21,20,65.13,3.428
93,car,2,14,13,18.4,1.533
94,car,2,4,3,0.97,0.486
95,car,2,4,3,0.18,0.088
96,car,2,29,28,35.2,1.304
97,car,2,28,27,9.33,0.359
98,car,2,32,31,76.91,2.564
99,car,2,64,63,777.56,12.541
100,car,2,4,3,1.84,0.919
101,car,2,90,89,1530.25,17.389
102,car,2,39,38,71.5,1.933
103,bus,2,37,36,179.38,5.125
104,car,2,68,67,875.68,13.268
105,car,2,90,89,1757.15,19.968
106,car,2,47,46,331.2,7.36
107,car,2,90,89,1432.34,16.277
108,car,2,90,89,1058.4,12.027
109,car,2,45,44,116.81,2.717
110,car,2,42,41,138.72,3.468
112,car,2,46,45,133.08,3.025
113,car,2,90,89,226.03,2.569
114,car,2,4,3,0.55,0.277
115,car,2,4,3,1.33,0.667
116,car,2,4,3,1.21,0.603
117,car,2,90,89,606.61,6.893
119,car,2,90,89,828.46,9.414
120,car,2,4,3,1.15,0.576
123,car,2,89,88,514.73,5.916
124,car,2,4,3,0.48,0.239
126,car,2,4,3,1.36,0.678
127,car,3,18,16,97.88,6.525
128,car,4,44,41,284.83,7.121
129,car,4,29,26,73.23,2.929
130,car,3,27,25,24.59,1.025
131,car,5,53,49,440.23,9.171
133,car,3,63,61,262.32,4.372
134,car,3,26,24,10.98,0.477
135,car,3,31,29,43.0,1.536
136,car,4,89,86,370.37,4.357
137,bus,4,6,3,0.35,0.173
138,car,4,89,86,1216.37,14.31
139,car,4,6,3,0.72,0.361
140,car,4,78,75,417.52,5.642
141,car,4,25,22,66.72,3.177
142,car,7,89,83,570.98,6.963
143,car,8,89,82,443.19,5.471
144,car,8,10,3,0.11,0.056
146,car,9,89,81,624.44,7.806
147,car,10,89,80,422.26,5.345
