frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
3,12,6,9,531.07,192.00,65.04,23.52
3,12,7,10,531.07,192.00,70.25,25.40
3,12,8,11,531.07,192.00,75.10,27.15
3,12,9,12,531.07,192.00,79.66,28.80
3,12,10,13,531.07,192.00,83.97,30.36
3,12,11,14,531.07,192.00,88.07,31.84
3,12,12,15,531.07,192.00,91.98,33.26
3,12,13,16,531.07,192.00,95.74,34.61
3,12,14,17,531.07,192.00,99.35,35.92
3,12,15,18,531.07,192.00,102.84,37.18
3,13,1,4,60.32,186.92,3.02,9.35
3,13,2,5,60.32,186.92,4.27,13.22
3,13,3,6,60.32,186.92,5.22,16.19
3,13,4,7,60.32,186.92,6.03,18.69
3,13,5,8,60.32,186.92,6.74,20.90
3,13,6,9,60.32,186.92,7.39,22.89
3,13,7,10,60.32,186.92,7.98,24.73
3,13,8,11,60.32,186.92,8.53,26.43
3,13,9,12,60.32,186.92,9.05,28.04
3,13,10,13,60.32,186.92,9.54,29.55
3,13,11,14,60.32,186.92,10.00,31.00
3,13,12,15,60.32,186.92,10.45,32.38
3,13,13,16,60.32,186.92,10.87,33.70
3,13,14,17,60.32,186.92,11.29,34.97
3,13,15,18,60.32,186.92,11.68,36.20
3,14,1,4,257.27,201.09,12.86,10.05
3,14,2,5,257.27,201.09,18.19,14.22
3,14,3,6,257.27,201.09,22.28,17.41
3,14,4,7,257.27,201.09,25.73,20.11
3,14,5,8,257.27,201.09,28.76,22.48
3,14,6,9,257.27,201.09,31.51,24.63
3,14,7,10,257.27,201.09,34.03,26.60
3,14,8,11,257.27,201.09,36.38,28.44
3,14,9,12,257.27,201.09,38.59,30.16
3,14,10,13,257.27,201.09,40.68,31.79
3,14,11,14,257.27,201.09,42.66,33.35
3,14,12,15,257.27,201.09,44.56,34.83
3,14,13,16,257.27,201.09,46.38,36.25
3,14,14,17,257.27,201.09,48.13,37.62
3,14,15,18,257.27,201.09,49.82,38.94
3,20,1,4,234.18,201.92,11.71,10.10
3,20,2,5,234.18,201.92,16.56,14.28
3,20,3,6,234.18,201.92,20.28,17.49
3,20,4,7,234.18,201.92,23.42,20.19
3,20,5,8,234.18,201.92,26.18,22.58
3,20,6,9,234.18,201.92,28.68,24.73
3,20,7,10,234.18,201.92,30.98,26.71
3,20,8,11,234.18,201.92,33.12,28.56
3,20,9,12,234.18,201.92,35.13,30.29
3,20,10,13,234.18,201.92,37.03,31.93
3,20,11,14,234.18,201.92,38.83,33.48
3,20,12,15,234.18,201.92,40.56,34.97
3,20,13,16,234.18,201.92,42.22,36.40
3,20,14,17,234.18,201.92,43.81,37.78
3,20,15,18,234.18,201.92,45.35,39.10
4,2,1,5,609.36,230.98,30.47,11.55
4,2,2,6,609.36,230.98,43.09,16.33
4,2,3,7,609.36,230.98,52.77,20.00
4,2,4,8,609.36,230.98,60.94,23.10
4,2,5,9,609.36,230.98,68.13,25.82
4,2,6,10,609.36,230.98,74.63,28.29
4,2,7,11,609.36,230.98,80.61,30.56
4,2,8,12,609.36,230.98,86.18,32.67
4,2,9,13,609.36,230.98,91.40,34.65
4,2,10,14,609.36,230.98,96.35,36.52
4,2,11,15,609.36,230.98,101.05,38.30
4,2,12,16,609.36,230.98,105.55,40.01
4,2,13,17,609.36,230.98,109.85,41.64
4,2,14,18,609.36,230.98,114.00,43.21
4,2,15,19,609.36,230.98,118.00,44.73
4,3,1,5,535.22,223.15,26.76,11.16
4,3,2,6,535.22,223.15,37.85,15.78
4,3,3,7,535.22,223.15,46.35,19.33
4,3,4,8,535.22,223.15,53.52,22.31
4,3,5,9,535.22,223.15,59.84,24.95
4,3,6,10,535.22,223.15,65.55,27.33
4,3,7,11,535.22,223.15,70.80,29.52
4,3,8,12,535.22,223.15,75.69,31.56
4,3,9,13,535.22,223.15,80.28,33.47
4,3,10,14,535.22,223.15,84.63,35.28
4,3,11,15,535.22,223.15,88.76,37.00
4,3,12,16,535.22,223.15,92.70,38.65
4,3,13,17,535.22,223.15,96.49,40.23
4,3,14,18,535.22,223.15,100.13,41.75
4,3,15,19,535.22,223.15,103.65,43.21
4,4,1,5,323.32,191.07,16.17,9.55
4,4,2,6,323.32,191.07,22.86,13.51
4,4,3,7,323.32,191.07,28.00,16.55
4,4,4,8,323.32,191.07,32.33,19.11
4,4,5,9,323.32,191.07,36.15,21.36
4,4,6,10,323.32,191.07,39.60,23.40
4,4,7,11,323.32,191.07,42.77,25.28
4,4,8,12,323.32,191.07,45.72,27.02
4,4,9,13,323.32,191.07,48.50,28.66
4,4,10,14,323.32,191.07,51.12,30.21
4,4,11,15,323.32,191.07,53.62,31.69
4,4,12,16,323.32,191.07,56.00,33.09
4,4,13,17,323.32,191.07,58.29,34.45
4,4,14,18,323.32,191.07,60.49,35.75
4,4,15,19,323.32,191.07,62.61,37.00
4,5,1,5,581.14,204.50,29.06,10.23
4,5,2,6,581.14,204.50,41.09,14.46
4,5,3,7,581.14,204.50,50.33,17.71
4,5,4,8,581.14,204.50,58.11,20.45
4,5,5,9,581.14,204.50,64.97,22.86
4,5,6,10,581.14,204.50,71.17,25.05
4,5,7,11,581.14,204.50,76.88,27.05
4,5,8,12,581.14,204.50,82.18,28.92
4,5,9,13,581.14,204.50,87.17,30.67
4,5,10,14,581.14,204.50,91.89,32.33
4,5,11,15,581.14,204.50,96.37,33.91
4,5,12,16,581.14,204.50,100.66,35.42
4,5,13,17,581.14,204.50,104.77,36.87
4,5,14,18,581.14,204.50,108.72,38.26
4,5,15,19,581.14,204.50,112.54,39.60
4,6,1,5,302.19,196.91,21.37,13.92
4,6,2,6,302.19,196.91,26.17,17.05
4,6,3,7,302.19,196.91,30.22,19.69
4,6,4,8,302.19,196.91,33.79,22.02
4,6,5,9,302.19,196.91,37.01,24.12
4,6,6,10,302.19,196.91,39.98,26.05
4,6,7,11,302.19,196.91,42.74,27.85
4,6,8,12,302.19,196.91,45.33,29.54
4,6,9,13,302.19,196.91,47.78,31.13
4,6,10,14,302.19,196.91,50.11,32.65
4,6,11,15,302.19,196.91,52.34,34.11
4,6,12,16,302.19,196.91,54.48,35.50
4,6,13,17,302.19,196.91,56.53,36.84
4,6,14,18,302.19,196.91,58.52,38.13
4,6,15,19,302.19,196.91,60.44,39.38
4,7,1,5,117.64,213.06,5.88,10.65
4,7,2,6,117.64,213.06,8.32,15.07
4,7,3,7,117.64,213.06,10.19,18.45
4,7,4,8,117.64,213.06,11.76,21.31
4,7,5,9,117.64,213.06,13.15,23.82
4,7,6,10,117.64,213.06,14.41,26.09
4,7,7,11,117.64,213.06,15.56,28.19
4,7,8,12,117.64,213.06,16.64,30.13
4,7,9,13,117.64,213.06,17.65,31.96
4,7,10,14,117.64,213.06,18.60,33.69
4,7,11,15,117.64,213.06,19.51,35.33
4,7,12,16,117.64,213.06,20.38,36.90
4,7,13,17,117.64,213.06,21.21,38.41
4,7,14,18,117.64,213.06,22.01,39.86
4,7,15,19,117.64,213.06,22.78,41.26
4,10,1,5,564.82,226.19,28.24,11.31
4,10,2,6,564.82,226.19,39.94,15.99
4,10,3,7,564.82,226.19,48.92,19.59
4,10,4,8,564.82,226.19,56.48,22.62
4,10,5,9,564.82,226.19,63.15,25.29
4,10,6,10,564.82,226.19,69.18,27.70
4,10,7,11,564.82,226.19,74.72,29.92
4,10,8,12,564.82,226.19,79.88,31.99
4,10,9,13,564.82,226.19,84.72,33.93
4,10,10,14,564.82,226.19,89.31,35.76
4,10,11,15,564.82,226.19,93.67,37.51
4,10,12,16,564.82,226.19,97.83,39.18
4,10,13,17,564.82,226.19,101.83,40.78
4,10,14,18,564.82,226.19,105.67,42.32
4,10,15,19,564.82,226.19,109.38,43.80
4,11,1,5,66.27,172.83,4.69,12.22
4,11,2,6,66.27,172.83,5.74,14.97
4,11,3,7,66.27,172.83,6.63,17.28
4,11,4,8,66.27,172.83,7.41,19.32
4,11,5,9,66.27,172.83,8.12,21.17
4,11,6,10,66.27,172.83,8.77,22.86
4,11,7,11,66.27,172.83,9.37,24.44
4,11,8,12,66.27,172.83,9.94,25.92
4,11,9,13,66.27,172.83,10.48,27.33
4,11,10,14,66.27,172.83,10.99,28.66
4,11,11,15,66.27,172.83,11.48,29.93
4,11,12,16,66.27,172.83,11.95,31.16
4,11,13,17,66.27,172.83,12.40,32.33
4,11,14,18,66.27,172.83,12.83,33.47
4,11,15,19,66.27,172.83,13.25,34.57
4,12,1,5,530.73,204.96,26.54,10.25
4,12,2,6,530.73,204.96,37.53,14.49
4,12,3,7,530.73,204.96,45.96,17.75
4,12,4,8,530.73,204.96,53.07,20.50
4,12,5,9,530.73,204.96,59.34,22.92
4,12,6,10,530.73,204.96,65.00,25.10
4,12,7,11,530.73,204.96,70.21,27.11
4,12,8,12,530.73,204.96,75.06,28.99
4,12,9,13,530.73,204.96,79.61,30.74
4,12,10,14,530.73,204.96,83.92,32.41
4,12,11,15,530.73,204.96,88.01,33.99
4,12,12,16,530.73,204.96,91.92,35.50
4,12,13,17,530.73,204.96,95.68,36.95
4,12,14,18,530.73,204.96,99.29,38.35
4,12,15,19,530.73,204.96,102.77,39.69
4,13,1,5,60.36,184.65,3.02,9.23
4,13,2,6,60.36,184.65,4.27,13.06
4,13,3,7,60.36,184.65,5.23,15.99
4,13,4,8,60.36,184.65,6.04,18.47
4,13,5,9,60.36,184.65,6.75,20.64
4,13,6,10,60.36,184.65,7.39,22.61
4,13,7,11,60.36,184.65,7.98,24.43
4,13,8,12,60.36,184.65,8.54,26.11
4,13,9,13,60.36,184.65,9.05,27.70
4,13,10,14,60.36,184.65,9.54,29.20
4,13,11,15,60.36,184.65,10.01,30.62
4,13,12,16,60.36,184.65,10.45,31.98
4,13,13,17,60.36,184.65,10.88,33.29
4,13,14,18,60.36,184.65,11.29,34.54
4,13,15,19,60.36,184.65,11.69,35.76
4,14,1,5,257.27,201.09,18.19,14.22
4,14,2,6,257.27,201.09,22.28,17.41
4,14,3,7,257.27,201.09,25.73,20.11
4,14,4,8,257.27,201.09,28.76,22.48
4,14,5,9,257.27,201.09,31.51,24.63
4,14,6,10,257.27,201.09,34.03,26.60
4,14,7,11,257.27,201.09,36.38,28.44
4,14,8,12,257.27,201.09,38.59,30.16
4,14,9,13,257.27,201.09,40.68,31.79
4,14,10,14,257.27,201.09,42.66,33.35
4,14,11,15,257.27,201.09,44.56,34.83
4,14,12,16,257.27,201.09,46.38,36.25
4,14,13,17,257.27,201.09,48.13,37.62
4,14,14,18,257.27,201.09,49.82,38.94
4,14,15,19,257.27,201.09,51.45,40.22
4,18,1,5,17.69,216.77,0.89,10.84
4,18,2,6,17.69,216.77,1.25,15.33
4,18,3,7,17.69,216.77,1.53,18.77
4,18,4,8,17.69,216.77,1.77,21.68
4,18,5,9,17.69,216.77,1.98,24.24
4,18,6,10,17.69,216.77,2.17,26.55
4,18,7,11,17.69,216.77,2.34,28.68
4,18,8,12,17.69,216.77,2.50,30.66
4,18,9,13,17.69,216.77,2.65,32.52
4,18,10,14,17.69,216.77,2.80,34.27
4,18,11,15,17.69,216.77,2.93,35.95
4,18,12,16,17.69,216.77,3.06,37.55
4,18,13,17,17.69,216.77,3.19,39.08
4,18,14,18,17.69,216.77,3.31,40.55
4,18,15,19,17.69,216.77,3.43,41.98
4,20,1,5,234.18,201.92,16.56,14.28
4,20,2,6,234.18,201.92,20.28,17.49
4,20,3,7,234.18,201.92,23.42,20.19
4,20,4,8,234.18,201.92,26.18,22.58
4,20,5,9,234.18,201.92,28.68,24.73
4,20,6,10,234.18,201.92,30.98,26.71
4,20,7,11,234.18,201.92,33.12,28.56
4,20,8,12,234.18,201.92,35.13,30.29
4,20,9,13,234.18,201.92,37.03,31.93
4,20,10,14,234.18,201.92,38.83,33.48
4,20,11,15,234.18,201.92,40.56,34.97
4,20,12,16,234.18,201.92,42.22,36.40
4,20,13,17,234.18,201.92,43.81,37.78
4,20,14,18,234.18,201.92,45.35,39.10
4,20,15,19,234.18,201.92,46.84,40.38
5,2,1,6,612.70,232.39,30.64,11.62
5,2,2,7,612.70,232.39,43.32,16.43
5,2,3,8,612.70,232.39,53.06,20.13
5,2,4,9,612.70,232.39,61.27,23.24
5,2,5,10,612.70,232.39,68.50,25.98
5,2,6,11,612.70,232.39,75.04,28.46
5,2,7,12,612.70,232.39,81.05,30.74
5,2,8,13,612.70,232.39,86.65,32.86
5,2,9,14,612.70,232.39,91.90,34.86
5,2,10,15,612.70,232.39,96.88,36.74
5,2,11,16,612.70,232.39,101.60,38.54
5,2,12,17,612.70,232.39,106.12,40.25
5,2,13,18,612.70,232.39,110.46,41.89
5,2,14,19,612.70,232.39,114.63,43.48
5,2,15,20,612.70,232.39,118.65,45.00
5,3,1,6,532.34,226.18,26.62,11.31
5,3,2,7,532.34,226.18,37.64,15.99
5,3,3,8,532.34,226.18,46.10,19.59
5,3,4,9,532.34,226.18,53.23,22.62
5,3,5,10,532.34,226.18,59.52,25.29
5,3,6,11,532.34,226.18,65.20,27.70
5,3,7,12,532.34,226.18,70.42,29.92
5,3,8,13,532.34,226.18,75.28,31.99
5,3,9,14,532.34,226.18,79.85,33.93
5,3,10,15,532.34,226.18,84.17,35.76
5,3,11,16,532.34,226.18,88.28,37.51
5,3,12,17,532.34,226.18,92.20,39.18
5,3,13,18,532.34,226.18,95.97,40.78
5,3,14,19,532.34,226.18,99.59,42.31
5,3,15,20,532.34,226.18,103.09,43.80
5,4,1,6,323.32,191.07,22.86,13.51
5,4,2,7,323.32,191.07,28.00,16.55
5,4,3,8,323.32,191.07,32.33,19.11
5,4,4,9,323.32,191.07,36.15,21.36
5,4,5,10,323.32,191.07,39.60,23.40
5,4,6,11,323.32,191.07,42.77,25.28
5,4,7,12,323.32,191.07,45.72,27.02
5,4,8,13,323.32,191.07,48.50,28.66
5,4,9,14,323.32,191.07,51.12,30.21
5,4,10,15,323.32,191.07,53.62,31.69
5,4,11,16,323.32,191.07,56.00,33.09
5,4,12,17,323.32,191.07,58.29,34.45
5,4,13,18,323.32,191.07,60.49,35.75
5,4,14,19,323.32,191.07,62.61,37.00
5,4,15,20,323.32,191.07,64.66,38.21
5,5,1,6,581.52,196.91,29.08,9.85
5,5,2,7,581.52,196.91,41.12,13.92
5,5,3,8,581.52,196.91,50.36,17.05
5,5,4,9,581.52,196.91,58.15,19.69
5,5,5,10,581.52,196.91,65.02,22.02
5,5,6,11,581.52,196.91,71.22,24.12
5,5,7,12,581.52,196.91,76.93,26.05
5,5,8,13,581.52,196.91,82.24,27.85
