TimeSec,TrackId,WorldX,WorldY,ClassName,SensorSupport,Hits,Locked,ClusterAllGhost,TruthId
30,183,65.9931187343968,20.7323800618819,person,1,1,0,1,0
30.5,1,28.1273664715214,31.6073590269887,person,4,62,1,0,1
30.5,3,57.5385044593645,48.6029379238197,vehicle,3,62,1,0,2
30.5,184,92.587227834593,14.3378726062654,person,1,1,0,1,0
30.5,185,-17.3357814488784,30.8897846092036,person,1,1,0,1,0
30.5,186,46.7741445749408,12.3560155843908,person,1,1,0,1,0
31,1,28.1390189325855,31.6603059393843,person,4,63,1,0,1
31,187,31.8125995361285,-5.91258940199507,person,1,1,0,1,0
31,3,57.4630035094684,48.5333996010862,vehicle,3,63,1,0,2
31,188,32.3858668835426,72.4545828331647,person,1,1,0,1,0
31,189,85.9996992914665,45.0917591876245,person,1,1,0,1,0
31.5,1,28.1704137637436,31.5168871025809,person,4,64,1,0,1
31.5,3,57.3144827350009,48.6222524838834,vehicle,3,64,1,0,2
31.5,183,65.2827230991926,20.8169029070982,person,1,2,0,1,0
31.5,190,20.3659756995609,31.9201435406244,person,1,1,0,1,0
31.5,191,18.8811885289586,16.4015701572464,person,1,1,0,1,0
32,1,28.3759091425741,31.4076014338415,person,4,65,1,0,1
32,192,15.9504259813804,24.8523543803706,person,1,1,0,1,0
32,3,57.0620962530305,48.562923347958,vehicle,3,65,1,0,2
32,193,38.6226146711995,48.0431602989864,person,1,1,0,1,0
32,194,64.9165943169822,72.0892112090735,person,1,1,0,1,0
32.5,1,28.3631143799985,31.3756950451518,person,4,66,1,0,1
32.5,3,57.1583718920726,48.57443564243,vehicle,3,66,1,0,2
32.5,195,49.9169697797452,-6.51277981359685,person,1,1,0,1,0
32.5,196,25.1128162620899,72.0398136010578,person,1,1,0,1,0
32.5,197,36.8362417475512,-7.60914881029096,person,1,1,0,1,0
33,1,28.5174447007532,31.220134692479,person,4,67,1,0,1
33,198,-19.7395991008834,13.9441406312063,person,1,1,0,1,0
33,3,57.0899091425316,48.5264054663962,vehicle,3,67,1,0,2
33,199,50.8091407604882,72.0402146994748,person,1,1,0,1,0
33,200,57.1217182891361,36.7758445216441,person,1,1,0,1,0
33.5,1,28.6861825731799,31.2329842697931,person,4,68,1,0,1
33.5,3,56.8496287398373,48.5623110846295,vehicle,3,68,1,0,2
33.5,201,82.0898902663144,1.12111756196332,person,1,1,0,1,0
33.5,202,-11.9664742432766,51.5069121933965,person,1,1,0,1,0
33.5,203,66.9998467759336,5.09096194866958,person,1,1,0,1,0
34,1,28.7101426341351,31.0630437664511,person,4,69,1,0,1
34,204,12.2245474439215,-8.86932401199742,person,1,1,0,1,0
34,3,56.9098212739061,48.5483503911165,vehicle,3,69,1,0,2
34,205,29.4475589893757,92.6637593685887,person,1,1,0,1,0
34,206,93.2250966636384,22.4058575816826,person,1,1,0,1,0
34.5,1,28.8641732643488,30.9670436924045,person,4,70,1,0,1
34.5,3,56.9296707167788,48.7556055712523,vehicle,3,70,1,0,2
34.5,207,80.8708403585268,36.885401799107,person,1,1,0,1,0
34.5,208,7.34212840814696,35.0216632163154,person,1,1,0,1,0
34.5,209,36.0016671798582,20.4923637531326,person,1,1,0,1,0
35,1,28.8845451376998,30.9018039263917,person,4,71,1,0,1
35,210,17.468542686779,12.8672059806995,person,1,1,0,1,0
35,3,56.7863247643068,48.645015357795,vehicle,3,71,1,0,2
35,211,29.15779340991,61.1429939450281,person,1,1,0,1,0
35,212,82.7492871337751,61.8657293383849,person,1,1,0,1,0
35.5,1,28.9854573681532,30.6862325099565,person,4,72,1,0,1
