TimeSec,SensorId,SensorType,RangeM,BearingRad,WorldX,WorldY,ExtentM,IsGhost,TrueId
38,6,UGV,27.5342292586936,1.97011018169544,29.2950697311383,30.3680556765612,0.701880423175762,0,1
38.5,1,UAV,28.06784784033,0.794799856122322,29.6594960702687,30.0326807155459,0.786099263994234,0,1
38.5,2,UAV,41.2871997915967,1.89807958102124,56.7273345541366,49.0956419386279,3.47373777904518,0,2
38.5,2,UAV,10,2.18336896743476,64.2502577817928,18.1817152495162,0.7,1,0
38.5,3,UAV,41.1726583924698,-1.82488032262057,29.6508850811361,30.1492331378785,0.991897390078861,0,1
38.5,3,UAV,26.4414992051997,-0.914127883219377,56.1420474343695,49.0575267734411,3.56824270491914,0,2
38.5,4,UGV,26.3787634895577,-0.598981200337424,29.7864962669364,30.127618090945,0.944371405381628,0,1
38.5,4,UGV,16,-0.639816339744822,20.8352868067687,35.447230109126,1.4,1,0
38.5,5,UGV,44.8381381086891,-2.80668784811673,29.6529969969356,30.2626336914516,0.724130120168965,0,1
38.5,5,UGV,16.1515927269979,2.90523936328059,56.2974482535251,48.782038639159,3.59213184353064,0,2
38.5,6,UGV,27.2137898844021,1.95818536802932,29.7193861111382,30.1972089315569,0.611323138729981,0,1
38.5,6,UGV,22,2.82018366025517,19.1265924163683,11.9498817146472,0.7,1,0
39,1,UAV,28.0092692925775,0.799835372879528,29.5175533657585,30.0894070823131,0.961129147680772,0,1
39,1,UAV,14,1.36336896743476,12.8832032697982,23.6998955800774,0.7,1,0
39,2,UAV,44.8983405134007,2.66194502011886,30.1680967388427,30.7190845225142,0.617074710797291,0,1
39,2,UAV,41.3091120525914,1.9137295633396,56.1097707557319,48.9037822083565,3.4744408679502,0,2
39,3,UAV,41.3516137883176,-1.81780931403191,29.8891704178931,29.9035277354756,0.800642177341086,0,1
39,3,UAV,26.4345049888895,-0.915131275903126,56.1167615081568,49.0468844202868,3.56013131298757,0,2
39,3,UAV,20,-1.45981633974483,42.2150462414291,50.123039212487,1.4,1,0
39,4,UGV,26.4107572284995,-0.607312241364015,29.6881119929097,29.9283744882729,0.884661806196906,0,1
39,5,UGV,44.8361963375755,-2.79355720102495,29.8519784970778,29.7085388072027,0.957561814517098,0,1
39,5,UGV,16.315577740348,2.894824494603,56.1786711894358,48.9854274136349,3.46881935466506,0,2
39,5,UGV,26,2.00018366025518,61.1758403855473,68.6397455282592,0.7,1,0
39,6,UGV,26.9352408563084,1.94606498038135,30.1276281812216,30.0607955711532,0.614482983648724,0,1
39.5,1,UAV,28.1565302341048,0.779245659587779,30.0317902099865,29.7868030719252,0.876100093781537,0,1
39.5,2,UAV,44.682005951775,2.68056728977755,29.9829376370026,29.8775344474721,0.661848480935623,0,1
39.5,2,UAV,41.1392948447528,1.91910654533231,55.9587479320606,48.6689128459554,3.57554727548644,0,2
39.5,2,UAV,24,-2.27981633974484,54.3738334403084,-8.21600720928645,1.4,1,0
39.5,3,UAV,41.4758504503471,-1.81772768518828,29.8620763683364,29.7822343358297,0.811733183961443,0,1
39.5,3,UAV,26.3993881784722,-0.91817726089871,56.0315386036744,49.0257904512099,3.50366327218813,0,2
39.5,4,UGV,26.7433603744884,-0.611169529796367,29.9022096689957,29.6539732915942,0.63280090592534,0,1
39.5,4,UGV,30,1.18018366025517,19.4226501370148,72.7402787269226,0.7,1,0
39.5,5,UGV,44.83117183451,-2.80004230339718,29.7584330682986,29.9838756261827,0.621976308311862,0,1
39.5,5,UGV,16.4353504615732,2.89533378297596,56.0604841864383,49.0065671620416,3.46028756715577,0,2
39.5,6,UGV,26.9426130770058,1.95935349645444,29.7926958474674,29.9342202876877,0.848624356795782,0,1
39.5,6,UGV,11,-1.64300164692442,39.206431457484,-5.9713376107168,1.4,1,0
40,1,UAV,28.2332411291073,0.788890805584081,29.8940678176111,30.0335211663504,0.804032567165178,0,1
40,1,UAV,28,-3.09981633974482,-17.9755699078041,8.83060343186605,1.4,1,0
40,2,UAV,44.4829546593168,2.67973605958222,30.1776703028218,29.8220915322292,0.968017783026301,0,1
40,2,UAV,41.4626722023929,1.91803789198328,55.890032573878,48.9879725735625,3.5531722043839,0,2
