TimeSec,TargetId,ClassName,WorldX,WorldY
28.5,1,person,27.7,31.8972017704523
28.5,2,vehicle,57.725,48.5145097937658
29,1,person,27.8,31.8305786100756
29,2,vehicle,57.65,48.5214212317467
29.5,1,person,27.9,31.7610269144254
29.5,2,vehicle,57.575,48.5296632908179
30,1,person,28,31.6886579513779
30,2,vehicle,57.5,48.5392285536827
30.5,1,person,28.1,31.6135874958359
30.5,2,vehicle,57.425,48.5501084122501
31,1,person,28.2,31.5359356445143
31,2,vehicle,57.35,48.5622930753816
31.5,1,person,28.3,31.4558266238102
31.5,2,vehicle,57.275,48.5757715777031
32,1,person,28.4,31.3733885910678
32,2,vehicle,57.2,48.590531789472
32.5,1,person,28.5,31.2887534295537
32.5,2,vehicle,57.125,48.6065604274942
33,1,person,28.6,31.2020565374716
33,2,vehicle,57.05,48.6238430670773
33.5,1,person,28.7,31.1134366113547
33.5,2,vehicle,56.975,48.6423641550122
34,1,person,28.8,31.02303542418
34,2,vehicle,56.9,48.6621070235699
34.5,1,person,28.9,30.9309975985626
34.5,2,vehicle,56.825,48.6830539055014
35,1,person,29,30.8374703753898
35,2,vehicle,56.75,48.7051859500267
35.5,1,person,29.1,30.7426033782671
35.5,2,vehicle,56.675,48.7284832397996
36,1,person,29.2,30.6465483741528
36,2,vehicle,56.6,48.752924808832
36.5,1,person,29.3,30.5494590305628
36.5,2,vehicle,56.525,48.7784886613613
37,1,person,29.4,30.4514906697356
37,2,vehicle,56.45,48.8051517916459
37.5,1,person,29.5,30.3528000201497
37.5,2,vehicle,56.375,48.8328902046681
38,1,person,29.6,30.2535449657915
38,2,vehicle,56.3,48.8616789377286
38.5,1,person,29.7,30.1538842935748
38.5,2,vehicle,56.225,48.8914920829108
39,1,person,29.8,30.0539774393152
39,2,vehicle,56.15,48.9223028103963
39.5,1,person,29.9,29.9539842326674
39.5,2,vehicle,56.075,48.9540833926101
40,1,person,30,29.8540646414311
40,2,vehicle,56,48.9868052291733
40.5,1,person,30.1,29.7543785156372
40.5,2,vehicle,55.925,49.0204388726416
41,1,person,30.2,29.6550853318219
41,2,vehicle,55.85,49.0549540550062
41.5,1,person,30.3,29.5563439378979
41.5,2,vehicle,55.775,49.0903197149325
42,1,person,30.4,29.4583122990316
42,2,vehicle,55.7,49.1265040257139
42.5,1,person,30.5,29.3611472449329
42.5,2,vehicle,55.625,49.1634744239129
43,1,person,30.6,29.2650042189611
43,2,vehicle,55.55,49.2011976386666
43.5,1,person,30.7,29.1700370294482
43.5,2,vehicle,55.475,49.2396397216279
44,1,person,30.8,29.0763976036388
44,2,vehicle,55.4,49.278766077517
44.5,1,person,30.9,28.984235744639
44.5,2,vehicle,55.325,49.3185414952545
45,1,person,31,28.8936988917629
45,2,vehicle,55.25,49.3589301796493
45.5,1,person,31.1,28.8049318846616
45.5,2,vehicle,55.175,49.3998957836114
46,1,person,31.2,28.7180767316107
46,2,vehicle,55.1,49.4414014408624
46.5,1,person,31.3,28.6332723823268
46.5,2,vehicle,55.025,49.4834097991124
47,1,person,31.4,28.5506545056781
47,2,vehicle,54.95,49.5258830536744
47.5,1,person,31.5,28.4703552726432
47.5,2,vehicle,54.875,49.5687829814862
48,1,person,31.6,28.3925031448652
48,2,vehicle,54.8,49.6120709755083
48.5,1,person,31.7,28.3172226691411
48.5,2,vehicle,54.725,49.6557080794681
49,1,person,31.8,28.244634278173
49,2,vehicle,54.65,49.6996550229173
49.5,1,person,31.9,28.1748540979018
49.5,2,vehicle,54.575,49.7438722565733
50,1,person,32,28.1079937617302
50,2,vehicle,54.5,49.7883199879102
