track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
698,person,393,399,7,0.95,0.158
699,car,393,415,23,51.79,2.354
700,person,394,407,14,30.27,2.329
703,person,395,400,6,3.64,0.728
704,car,396,445,50,110.07,2.246
705,person,396,398,3,1.68,0.841
707,truck,397,399,3,0.74,0.372
708,person,398,400,3,1.32,0.662
709,car,399,401,3,0.84,0.418
710,person,399,401,3,0.16,0.082
711,bus,399,401,3,0.3,0.148
712,person,399,401,3,0.46,0.232
713,car,399,405,7,5.12,0.853
714,person,402,458,57,100.63,1.797
715,bus,402,404,3,1.67,0.836
716,person,402,408,7,2.46,0.409
717,person,404,409,6,3.82,0.764
718,truck,403,405,3,0.31,0.153
719,person,406,414,9,10.42,1.302
720,person,404,406,3,0.97,0.485
721,person,405,407,3,0.45,0.226
722,car,405,419,15,8.41,0.601
723,person,405,407,3,0.13,0.063
724,person,405,407,3,0.28,0.14
725,bus,405,407,3,0.34,0.17
726,car,406,411,6,1.54,0.308
727,person,405,410,6,1.13,0.226
728,person,406,418,13,0.0,0.0
730,person,405,407,3,0.65,0.323
731,person,408,415,8,1.71,0.244
732,person,406,444,39,107.6,2.831
733,bus,408,443,36,118.84,3.395
734,car,410,425,16,4.81,0.321
735,truck,409,411,3,0.57,0.283
737,person,410,412,3,0.22,0.111
738,person,411,413,3,1.32,0.659
739,person,411,413,3,0.22,0.111
740,person,411,429,19,11.69,0.649
741,bus,411,413,3,0.49,0.245
745,person,412,446,35,38.96,1.146
746,person,413,415,3,1.08,0.542
747,person,414,416,3,0.31,0.155
748,person,415,417,3,0.82,0.412
749,truck,415,417,3,0.17,0.087
751,person,416,418,3,0.24,0.122
752,car,417,487,71,137.5,1.964
753,person,417,419,3,0.12,0.062
754,person,417,419,3,2.72,1.359
755,bus,417,419,3,1.05,0.525
756,person,417,426,10,0.73,0.081
758,person,418,447,30,35.05,1.208
759,person,417,444,28,52.37,1.94
760,person,418,428,11,4.74,0.474
761,person,417,419,3,2.45,1.223
762,person,417,431,15,19.29,1.378
763,person,419,452,34,17.58,0.533
764,car,419,421,3,1.24,0.618
766,car,419,421,3,0.86,0.429
768,person,421,453,33,37.69,1.178
769,truck,421,423,3,0.51,0.253
770,person,423,445,23,12.11,0.55
771,person,422,424,3,0.23,0.117
772,person,423,425,3,0.13,0.065
773,person,423,425,3,0.54,0.268
774,bus,423,425,3,0.65,0.327
